feed,title,long_url,short_url
ArXiv,Do You Remember? Toward Memory-Centric Multimodal AI,https://arxiv.org/abs/2607.11919,
ArXiv,Underwriting the Agent Economy: The Blueprint for an AI Insurance Stack,https://arxiv.org/abs/2607.11999,
ArXiv,"Designing Agent-Ready Websites for AI Web Agents: A Framework for Machine Readability, Actionability, and Decision Reliability",https://arxiv.org/abs/2607.12056,
ArXiv,An Agentic AI Scientific Community for Automated Neural Operator Discovery,https://arxiv.org/abs/2607.12122,
ArXiv,"Faster AI, Uneven Frontier: Rapid Crossings, a Jagged Frontier, and the Repositioning of Human Judgment",https://arxiv.org/abs/2607.12125,
ArXiv,TRAIL: A Platform for Configurable Human--AI Teaming Experiments,https://arxiv.org/abs/2607.12180,
ArXiv,"Overcoming Orchestration Bottlenecks at Exascale: A Decentralized, Policy-Driven Approach for Sim-AI Ensembles",https://arxiv.org/abs/2607.12211,
ArXiv,From Chaos to Clarity: A Framework for Program-Level AI Learning Outcomes,https://arxiv.org/abs/2607.12221,
ArXiv,A Hierarchical Semi-Markov Load Model for AI Data Centers Coupling Job Scheduling with Bulk-Synchronous-Parallel Power Dynamics,https://arxiv.org/abs/2607.12222,
ArXiv,WIP: Software Engineering Competencies in the Age of AI,https://arxiv.org/abs/2607.12259,
ArXiv,A Longitudinal Analysis of Public Discourse on AI Ethics in Education Using Twitter Data,https://arxiv.org/abs/2607.12295,
ArXiv,A Comparative Analysis of Institutional and Course Generative AI Policies within Higher Education: Implications for Instruction in Computing Education,https://arxiv.org/abs/2607.12296,
ArXiv,EMO: Energy Efficiency Modeling and Optimization for AI Workloads,https://arxiv.org/abs/2607.12324,
ArXiv,Evidence-Grounded AI for Musculoskeletal Care,https://arxiv.org/abs/2607.12527,
ArXiv,FM-Receiver: A Foundation Model Enabled Unified Inner and Outer Neural Receiver Towards AI-Native Wireless Communications,https://arxiv.org/abs/2607.12555,
ArXiv,Vertical Standardisation for High-Risk AI Systems under the EU AI Act: A Domain-Specific Framework for Algorithmic Hiring,https://arxiv.org/abs/2607.12588,
ArXiv,Internet of Agentic Things: Networked AI Agents for Closed-Loop IoT Orchestration,https://arxiv.org/abs/2607.12662,
ArXiv,Line-Anchored Feedback Cuts Token Costs and Improves Correctness in AI Code Editing,https://arxiv.org/abs/2607.12713,
ArXiv,"A\""ira: Rethinking AI Research Assistants for Interdisciplinary Science",https://arxiv.org/abs/2607.12736,
ArXiv,"Practical Judgment, Virtue, and Intuition in the Use of Opaque AI-Enabled Systems",https://arxiv.org/abs/2607.12755,
ArXiv,Human-AI Agent Interaction as a Neuroplastic Training Environment,https://arxiv.org/abs/2607.12823,
ArXiv,Solution of the Hempel's statistical ambiguity problem and Causal AI,https://arxiv.org/abs/2607.12826,
ArXiv,Metric-Guided Synthetic Image Data Rendering for Deep Learning compatible with Agentic AI,https://arxiv.org/abs/2607.12874,
ArXiv,Do AI Agents Know When a Task Is Simple? Toward Complexity-Aware Reasoning and Execution,https://arxiv.org/abs/2607.13034,
ArXiv,Inclusive Federated Learning Through Compliance-Weighted Noise Allocation in Healthcare AI,https://arxiv.org/abs/2505.22108,
ArXiv,"First, do NOHARM: a medical safety benchmark and randomized study of physician and AI teaming on clinical consultations",https://arxiv.org/abs/2512.01241,
ArXiv,"Declarative by Design, Assistable Only by Convention: Benchmarking Multi-Agent Frameworks for AI-Assistability",https://arxiv.org/abs/2602.11198,
ArXiv,"AI Policy, Disclosure, and Human in the Loop: How Are Contribution Guidelines Adapting to GenAI?",https://arxiv.org/abs/2605.16706,
ArXiv,Atlas H&E-TME: Scalable AI-Based Tissue Profiling at Expert Pathologist-Level Accuracy,https://arxiv.org/abs/2606.12346,
